,index,city,proj_number,country,location_info,country1,latitude,longitude,iso_alpha
0,0,Aachen,1,Germany,"Aachen, Städteregion Aachen, North Rhine-Westphalia, Germany",Germany,50.776351,6.083862,DEU
1,1,Aarhus,1,Denmark,"Aarhus, Aarhus Municipality, Central Denmark Region, 8000, Denmark",Denmark,56.1496278,10.2134046,DNK
2,2,Ajaccio,1,France,"Ajaccio, South Corsica, Corsica, Metropolitan France, 20000, France",France,41.9263991,8.7376029,FRA
3,3,Alessandria,1,Italy,"Alessandria, Piedmont, Italy",Italy,44.83495335,8.745030419,ITA
4,4,Alingsås,1,Sweden,"Alingsås, Alingsås kommun, Västra Götaland County, 441 30, Sweden",Sweden,57.9299658,12.5329678,SWE
5,5,Alkmaar,1,Netherlands,"Alkmaar, North Holland, Netherlands",Netherlands,52.6008538,4.817099446,NLD
6,6,Almere,1,Netherlands,"Almere, Flevoland, Netherlands",Netherlands,52.3657098,5.2210432,NLD
7,7,Amsterdam,5,Netherlands,"Amsterdam, North Holland, Netherlands",Netherlands,52.3727598,4.8936041,NLD
8,8,Antalya,1,Turkey,"Antalya, Muratpaşa, Antalya, Mediterranean Region, 07050, Turkey",Turkey,36.8872942,30.7074549,TUR
9,9,Apeldoorn,1,Netherlands,"Apeldoorn, Gelderland, Netherlands",Netherlands,52.17957375,5.930077461,NLD
10,10,Asparrena,1,Spain,"Asparrena, Arabako lautada/Llanada Alavesa, Álava, Autonomous Community of the Basque Country, Spain",Spain,42.88625135,-2.28550751,ESP
11,11,Augsburg,1,Germany,"Augsburg, Bavaria, Germany",Germany,48.3668041,10.8986971,DEU
12,12,Ballerup,1,Denmark,"Ballerup, Måløv, Ballerup Municipality, Capital Region of Denmark, 2750, Denmark",Denmark,55.7303589,12.3612313,DNK
13,13,Barcelona,1,Spain,"Barcelona, Barcelonès, Barcelona, Catalonia, 08001, Spain",Spain,41.3828939,2.1774322,ESP
14,14,Belgrade,1,Serbia,"Belgrade, City of Belgrade, Central Serbia, 11000, Serbia",Serbia,44.8178131,20.4568974,SRB
15,15,Bilbao,3,Spain,"Bilbao, Biscay, Autonomous Community of the Basque Country, Spain",Spain,43.2630018,-2.9350039,ESP
16,16,Birštonas,1,Lithuania,"Birštonas, Birštono seniūnija, Birštonas Municipality, Kaunas County, Lithuania",Lithuania,54.6043509,24.0335131,LTU
17,17,Bolzano,2,Italy,"Bolzano - Bozen, South Tyrol, Trentino-Alto Adige/Südtirol, Italy",Italy,46.4981125,11.3547801,ITA
18,18,Bratislava,1,Slovakia,"Bratislava, Region of Bratislava, Slovakia",Slovakia,48.1435149,17.108279,SVK
19,19,Brescia,1,Italy,"Brescia, Lombardy, Italy",Italy,45.77958045,10.42587297,ITA
20,20,Bristol,1,United Kingdom,"Bristol, City of Bristol, West of England, England, United Kingdom",United Kingdom,51.4538022,-2.5972985,GBR
21,21,Budapest,1,Hungary,"Budapest, Central Hungary, Hungary",Hungary,47.4979937,19.0403594,HUN
