,city,proj_number,country,location_info,country1,latitude,longitude
52,Hannover,1,Germany,"Hanover, Region Hannover, Lower Saxony, Germany",Germany,52.3744779,9.7385532
53,Hartberg,1,Austria,"Hartberg, Bezirk Hartberg-Fürstenfeld, Styria, 8230, Austria",Austria,47.2809371,15.9691769
54,Heerlen,2,Netherlands,"Heerlen, Limburg, Netherlands",Netherlands,50.8876735,5.9773285
55,Helsingborg,1,Sweden,"Helsingborg, Helsingborgs kommun, Skåne County, 252 68, Sweden",Sweden,56.0441984,12.7040684
56,Helsingør,1,Denmark,"Elsinore, Helsingør Municipality, Capital Region of Denmark, 3000, Denmark",Denmark,56.0348739,12.6130073
57,Helsinki,1,Finland,"Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, Finland",Finland,60.1674881,24.9427473
58,Hillerød,1,Denmark,"Hillerød, Hillerød Municipality, Capital Region of Denmark, 3400, Denmark",Denmark,55.9285735,12.3063909
59,Høje-Taastrup,1,Denmark,"Høje-Taastrup Municipality, Capital Region of Denmark, Denmark",Denmark,55.65642635,12.241872751356102
60,Hvar,1,Croatia,"Hvar, Split-Dalmatia County, Croatia",Croatia,43.17389195,16.55652349457852
61,Innsbruck,2,Austria,"Innsbruck, Tyrol, Austria",Austria,47.2654296,11.3927685
62,Istanbul,3,Turkey,"Istanbul, Fatih, Istanbul, Marmara Region, 34126, Turkey",Turkey,41.0091982,28.9662187
63,Jyväskylä,1,Finland,"Jyväskylä, Jyväskylä sub-region, Central Finland, Western and Central Finland, Mainland Finland, Finland",Finland,62.2393431,25.7458236
64,Köln,2,Germany,"Cologne, North Rhine-Westphalia, Germany",Germany,50.938361,6.959974
65,Kortrijk,1,Belgium,"Kortrijk, West Flanders, Flanders, Belgium",Belgium,50.8276429,3.2659884
66,Kranj,1,Slovenia,"Kranj, Slovenia",Slovenia,46.2432635,14.3549501
67,Kremsmünster,1,Austria,"Kremsmünster, Bezirk Kirchdorf, Upper Austria, 4550, Austria",Austria,48.0533652,14.128766
68,Laguna de Duero,1,Spain,"Laguna de Duero, Valladolid, Castile and León, 47140, Spain",Spain,41.582811,-4.7214404
69,Lapua,1,Finland,"Lapua, Seinäjoki sub-region, South Ostrobothnia, Western and Central Finland, Mainland Finland, Finland",Finland,62.9702783,23.0068628
70,Lecce,1,Italy,"Lecce, Apulia, Italy",Italy,40.152217300000004,18.2260628338229
71,Leipzig,1,Germany,"Leipzig, Saxony, Germany",Germany,51.3406321,12.3747329
72,Limerick,1,Ireland,"Limerick, County Limerick, Munster, Ireland",Ireland,52.661252,-8.6301239
73,Lisbon,1,Portugal,"Lisbon, Portugal",Portugal,38.7077507,-9.1365919
74,Ljubljana,1,Slovenia,"Ljubljana, Upravna Enota Ljubljana, Slovenia",Slovenia,46.0500268,14.5069289
75,London,5,United Kingdom,"London, Greater London, England, United Kingdom",United Kingdom,51.5073219,-0.1276474
76,Lulea,1,Sweden,"Luleå, Luleå kommun, Norrbotten County, 971 28, Sweden",Sweden,65.5831187,22.1459535
77,Lund,1,Sweden,"Lund, Lund Municipality, Skåne County, Sweden",Sweden,55.7029296,13.1929449
78,Lyon,3,France,"Lyon, Métropole de Lyon, Departemental constituency of Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France",France,45.7578137,4.8320114
79,Måbjerg,1,Denmark,"Måbjerg Bioenergi, Holstebro Municipality, Central Denmark Region, Denmark",Denmark,56.398082599999995,8.616277017895616
80,Madrid,3,Spain,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, Spain",Spain,40.4167047,-3.7035825
81,Mafra,1,Portugal,"Mafra, Região Geográfica Imediata de Mafra, Região Geográfica Intermediária de Joinville, Santa Catarina, South Region, Brazil",Brazil,38.936958,-9.32593
82,Malmö,2,Sweden,"Malmo, Malmö kommun, Skåne County, Sweden",Sweden,55.6052931,13.0001566
83,Manchester,1,United Kingdom,"Manchester, Lancashire, England, M60 2UT, United Kingdom",United Kingdom,53.4794892,-2.2451148
84,Milano,2,Italy,"Milan, Lombardy, Italy",Italy,45.4641943,9.1896346
85,Milton Keynes,1,United Kingdom,"Milton Keynes, England, United Kingdom",United Kingdom,52.0406502,-0.7594092
86,Mödling,1,Austria,"Gemeinde Mödling, Bezirk Mödling, Lower Austria, 2340, Austria",Austria,48.0855922,16.2833526
