index;city;proj_number;country;Quantitative visual analysis of Scale database by categories;;;;;
133;Tampere;2;Finland;;;;;;
134;Tartu;2;Estonia;;;;;;
135;Tepebasi;1;Türkiye;;;;;;
136;Torino;1;Italy;;;;;;
137;Trento;1;Italy;;;;;;
138;Trondheim;2;Norway;;;;;;
139;Tudela;1;Spain;;;;;;
140;Tulln;1;Austria;;;;;;
141;Turku;2;Finland;;;;;;
142;Umeå;1;Sweden;;;;;;
143;Utrecht;1;Netherlands;;;;;;
144;Valby;1;Denmark;;;;;;
145;Valencia;2;Spain;;;;;;
146;Valladolid;3;Spain;;;;;;
147;Varberg;1;Sweden;;;;;;
148;Växjö;2;Sweden;;;;;;
149;Versailles;1;France;;;;;;
150;Vienna;2;Austria;;;;;;
151;Viladecans;1;Spain;;;;;;
152;Vitoria-Gasteiz;2;Spain;;;;;;
153;Voiron;1;France;;;;;;
154;Warsaw;1;Poland;;;;;;
155;Weilerbach;1;Germany;;;;;;
156;Weiz / Gleisdorf;1;Austria;;;;;;
157;Zagorje;1;Croatia;;;;;;
158;Zaragoza;2;Spain;;;;;;
159;Zlín;1;Czechia;;;;;;
;;;208;;;;;;
