,index,city,proj_number,country,location_info,country1
63,63,Jyväskylä,1,Finland,"Jyväskylä, Jyväskylä sub-region, Central Finland, Western and Central Finland, Mainland Finland, Finland",Finland
64,64,Köln,2,Germany,"Cologne, North Rhine-Westphalia, Germany",Germany
65,65,Kortrijk,1,Belgium,"Kortrijk, West Flanders, Flanders, Belgium",Belgium
66,66,Kranj,1,Slovenia,"Kranj, Slovenia",Slovenia
67,67,Kremsmünster,1,Austria,"Kremsmünster, Bezirk Kirchdorf, Upper Austria, 4550, Austria",Austria
68,68,Laguna de Duero,1,Spain,"Laguna de Duero, Valladolid, Castile and León, 47140, Spain",Spain
69,69,Lapua,1,Finland,"Lapua, Seinäjoki sub-region, South Ostrobothnia, Western and Central Finland, Mainland Finland, Finland",Finland
70,70,Lecce,1,Italy,"Lecce, Apulia, Italy",Italy
71,71,Leipzig,1,Germany,"Leipzig, Saxony, Germany",Germany
72,72,Limerick,1,Ireland,"Limerick, County Limerick, Munster, Ireland",Ireland
73,73,Lisbon,1,Portugal,"Lisbon, Portugal",Portugal
74,74,Ljubljana,1,Slovenia,"Ljubljana, Upravna Enota Ljubljana, Slovenia",Slovenia
75,75,London,5,United Kingdom,"London, Greater London, England, United Kingdom",United Kingdom
76,76,Lulea,1,Sweden,"Luleå, Luleå kommun, Norrbotten County, 971 28, Sweden",Sweden
77,77,Lund,1,Sweden,"Lund, Lund Municipality, Skåne County, Sweden",Sweden
78,78,Lyon,3,France,"Lyon, Métropole de Lyon, Departemental constituency of Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France",France
79,79,Måbjerg,1,Denmark,"Måbjerg Bioenergi, Holstebro Municipality, Central Denmark Region, Denmark",Denmark
80,80,Madrid,3,Spain,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, Spain",Spain
81,81,Mafra,1,Portugal,"Mafra, Região Geográfica Imediata de Mafra, Região Geográfica Intermediária de Joinville, Santa Catarina, South Region, Brazil",Brazil
82,82,Malmö,2,Sweden,"Malmo, Malmö kommun, Skåne County, Sweden",Sweden
83,83,Manchester,1,United Kingdom,"Manchester, Lancashire, England, M60 2UT, United Kingdom",United Kingdom
84,84,Milano,2,Italy,"Milan, Lombardy, Italy",Italy
85,85,Milton Keynes,1,United Kingdom,"Milton Keynes, England, United Kingdom",United Kingdom
86,86,Mödling,1,Austria,"Gemeinde Mödling, Bezirk Mödling, Lower Austria, 2340, Austria",Austria
87,87,Montieri,1,Italy,"Montieri, Grosseto, Tuscany, 58026, Italy",Italy
88,88,Mórahalom,1,Hungary,"Mórahalom, Mórahalmi járás, Csongrád-Csanád County, Southern Great Plain, Great Plain and North, 6782, Hungary",Hungary
89,89,München,3,Germany,"Munich, Bavaria, Germany",Germany
90,90,Murcia,1,Spain,"Murcia, Área Metropolitana de Murcia, Region of Murcia, Spain",Spain
91,91,Nantes,2,France,"Nantes, Loire-Atlantique, Pays de la Loire, Metropolitan France, France",France
92,92,Napoli,1,Italy,"Naples, Napoli, Campania, Italy",Italy
93,93,Neckarsulm,1,Germany,"Neckarsulm, Verwaltungsgemeinschaft Neckarsulm, Landkreis Heilbronn, Baden-Württemberg, 74172, Germany",Germany
